2016年1月1日,元日
2016年1月11日,成人の日
2016年2月11日,建国記念の日
2016年3月20日,春分の日
2016年3月21日,振替休日
2016年4月29日,昭和の日
2016年5月3日,憲法記念日
2016年5月4日,みどりの日
2016年5月5日,こどもの日
2016年7月18日,海の日
2016年8月11日,山の日
2016年9月19日,敬老の日
2016年9月22日,秋分の日
2016年10月10日,体育の日
2016年11月3日,文化の日
2016年11月23日,勤労感謝の日
2016年12月23日,天皇誕生日
